,word,positive,negative,Word_prob
0,happy,10919,396,0.07852260656721932
1,birthday,4057,43,0.029181868563247587
2,to,6561,6479,0.025914422943702952
3,i,5873,6929,0.02562577933773611
4,you,4307,3376,0.022364106590310812
5,the,5912,7555,0.020158869440724148
6,and,5291,5629,0.01734748071860712
7,a,5172,5530,0.016585461598854663
8,so,3431,4243,0.015038331870872397
9,for,3375,2506,0.011678520297418372
10,my,2599,2217,0.009848519835588602
11,of,3602,3700,0.00883826721470466
12,be,2386,2233,0.008641989562647208
13,is,3217,4629,0.00822056989793562
14,that,2280,3638,0.008133976816145569
15,me,1748,2359,0.007995427885281485
16,im,1433,1937,0.007608645453285919
17,it,2836,2909,0.007539370987853877
18,in,2563,2863,0.0071583614279776475
19,day,1367,456,0.006754260379624071
20,this,2517,3293,0.006713850274788713
21,with,2094,1648,0.005807509352052834
22,have,2543,1724,0.005576594467279361
23,your,1260,874,0.005039717360181037
24,but,1894,2516,0.004912714173555628
25,are,1522,2085,0.004739528009975523
26,on,1698,1651,0.00434697270586062
27,all,1263,1218,0.004133376437445158
28,we,1226,1072,0.004116057821087147
29,just,1445,1901,0.004052556227774442
30,i'm,0,0,0.003856278575716991
31,love,872,447,0.0038274142151203065
32,was,1750,2279,0.0037581397496882648
33,not,1227,1942,0.0033771301898120353
34,if,969,1288,0.0033655844455733617
35,like,1233,1448,0.003013439246293816
36,am,538,726,0.002828707338475038
37,makes,512,752,0.002799842977878354
38,he,636,1432,0.0027478871288043227
39,u,529,347,0.0026959312797302914
40,hope,574,192,0.0026612940470142703
41,one,814,844,0.0026555211748949337
42,very,539,965,0.0026035653258209023
43,at,1153,1537,0.002528517988269524
44,about,850,1410,0.0025054264997921767
45,make,801,579,0.002493880755553503
46,good,716,447,0.002493880755553503
47,they,793,1462,0.002465016394956819
48,do,863,909,0.0023206945919733986
49,our,675,336,0.002268738742899367
50,thank,521,142,0.0022629658707800306
51,when,827,1470,0.0022341015101833466
52,its,1022,1416,0.0021648270447513045
53,as,732,839,0.0021532813005126312
54,see,595,743,0.002089779707199926
55,more,768,634,0.002060915346603242
56,what,651,1129,0.0020493696023645685
57,now,559,842,0.002032050986006558
58,can,742,690,0.0019454579042165058
59,know,563,840,0.001910820671500485
60,her,359,723,0.001905047799381148
61,will,611,656,0.0018935020551424744
62,from,629,721,0.001881956310903801
63,best,363,165,0.0018530919503071167
64,get,667,1216,0.0017895903569944119
65,people,625,1405,0.0017895903569944119
66,got,457,515,0.0017780446127557382
67,been,580,596,0.001754953124278391
68,today,528,348,0.0017491802521590542
69,up,635,763,0.0017491802521590542
70,really,663,915,0.0017318616358010437
71,how,657,1112,0.0017318616358010437
72,much,892,403,0.0017087701473236965
73,an,589,935,0.0017029972752043597
74,always,572,370,0.0016856786588463491
75,time,693,668,0.0016510414261303283
76,no,601,1062,0.0016394956818916548
77,out,689,745,0.001633722809772318
78,life,338,388,0.0016164041934143075
79,great,446,160,0.001512492495266245
80,bday,211,8,0.0014951738789082344
81,would,551,565,0.0014778552625502239
82,them,485,576,0.0014720823904308873
83,want,419,467,0.0014663095183115504
84,she,308,886,0.0013970350528795085
85,or,498,881,0.001391262180760172
86,his,350,700,0.001385489308640835
87,had,763,637,0.0013739435644021614
88,too,490,529,0.0013681706922828245
89,wish,254,104,0.0013623978201634877
90,who,438,775,0.0013393063316861405
91,stay,220,96,0.0012758047383734355
92,him,334,510,0.001264258994134762
93,it's,0,0,0.001264258994134762
94,3,273,95,0.0012527132498960883
95,go,435,439,0.0012469403777767515
96,anniversary,171,8,0.001229621761418741
97,dont,403,719,0.0012238488892994043
98,still,379,559,0.0012180760171800675
99,-,348,306,0.0012180760171800675
100,because,429,822,0.0012123031450607307
101,&lt,210,32,0.0011949845287027201
102,new,413,178,0.0011545744238673624
103,some,676,534,0.0011372558075093521
104,there,362,553,0.0011314829353900153
105,many,230,363,0.0011199371911513416
106,has,355,605,0.0011141643190320048
107,by,429,579,0.0011141643190320048
108,never,334,483,0.001108391446912668
109,being,413,675,0.001108391446912668
110,us,342,296,0.0010910728305546576
111,beautiful,192,55,0.001073754214196647
112,made,369,365,0.0010564355978386368
113,man,259,435,0.0010564355978386368
114,feel,258,630,0.0010506627257193
115,here,353,346,0.0010506627257193
116,don't,0,0,0.001016025493003279
117,back,346,289,0.001016025493003279
118,years,246,221,0.0010102526208839422
119,think,471,614,0.0010044797487646054
120,well,323,273,0.0009871611324065949
121,year,268,169,0.000981388260287258
122,may,193,158,0.0009582967718099109
123,look,295,288,0.000952523899690574
124,everyone,267,212,0.0009409781554519005
125,were,347,475,0.0009352052833325636
126,enjoy,264,30,0.0009352052833325636
127,only,337,496,0.0009294324112132268
128,even,315,605,0.0009294324112132268
129,administrative,122,1,0.0009294324112132268
130,say,261,396,0.0009005680506165428
131,amazing,191,68,0.0008659308179005218
132,way,341,360,0.0008659308179005218
133,you're,0,0,0.0008543850736618483
134,bro,155,108,0.0008255207130651641
135,youre,207,222,0.0008139749688264906
136,help,195,178,0.0008082020967071537
137,work,281,196,0.0008082020967071537
138,these,306,418,0.0008082020967071537
139,long,195,116,0.0007966563524684802
140,little,256,311,0.0007908834803491433
141,did,267,364,0.0007908834803491433
142,why,301,992,0.0007851106082298065
143,jaemin,53,0,0.0007793377361104697
144,earth,262,42,0.0007793377361104697
145,sad,140,10051,0.0007735648639911329
146,keep,181,167,0.0007735648639911329
147,god,132,195,0.000767791991871796
148,also,338,379,0.000767791991871796
149,right,227,423,0.000767791991871796
150,again,239,238,0.0007620191197524592
151,hear,145,250,0.0007562462476331225
152,going,343,406,0.0007447005033944488
153,every,230,281,0.0007331547591557752
154,first,274,244,0.0007331547591557752
155,cant,222,333,0.0007273818870364384
156,please,199,168,0.0007273818870364384
157,things,237,217,0.0007273818870364384
158,could,240,276,0.0007216090149171015
159,omg,165,109,0.000710063270678428
160,friend,160,133,0.000710063270678428
161,then,278,428,0.0006927446543204175
162,morning,202,79,0.0006869717822010807
163,come,287,175,0.0006869717822010807
164,ever,181,223,0.0006869717822010807
165,girl,132,356,0.0006869717822010807
166,take,259,264,0.0006869717822010807
167,their,309,544,0.0006811989100817438
168,wednesday,102,7,0.0006811989100817438
169,big,184,165,0.0006696531658430703
170,@dipolygabana,98,0,0.0006638802937237334
171,need,228,355,0.0006638802937237334
172,:),187,40,0.0006581074216043966
173,yes,215,287,0.0006581074216043966
174,oh,237,296,0.0006581074216043966
175,lol,283,269,0.0006523345494850598
176,than,240,347,0.000646561677365723
177,can't,0,0,0.000646561677365723
178,other,207,324,0.0006407888052463862
179,getting,210,363,0.0006407888052463862
180,most,262,225,0.0006292430610077126
181,someone,185,432,0.0006234701888883757
182,into,234,265,0.0006234701888883757
183,doing,235,161,0.0006176973167690389
184,professionals,85,2,0.0006176973167690389
185,last,298,274,0.0006176973167690389
186,family,145,166,0.0006119244446497022
187,tell,146,155,0.0006061515725303653
188,thanks,197,79,0.0006003787004110285
189,friends,240,139,0.0006003787004110285
190,ive,184,171,0.0005946058282916916
191,2,218,190,0.0005888329561723549
192,queen,90,17,0.0005888329561723549
193,real,151,157,0.0005888329561723549
194,after,202,296,0.0005888329561723549
195,world,157,162,0.0005830600840530181
196,said,157,297,0.0005830600840530181
197,live,206,145,0.0005715143398143445
198,should,223,385,0.0005657414676950076
199,something,225,300,0.0005657414676950076
200,any,177,280,0.0005599685955756708
201,over,199,385,0.0005599685955756708
202,baby,118,94,0.0005599685955756708
203,finally,105,45,0.000554195723456334
204,days,161,167,0.000554195723456334
205,glad,140,80,0.000554195723456334
206,thats,206,418,0.0005426499792176604
207,two,166,152,0.0005426499792176604
208,better,164,223,0.0005368771070983235
209,making,444,229,0.0005368771070983235
210,believe,114,141,0.0005368771070983235
211,both,149,127,0.0005311042349789867
212,nice,151,81,0.00052533136285965
213,guys,174,147,0.0005195584907403131
214,wonderful,97,16,0.0005195584907403131
215,miss,165,103,0.0005137856186209763
216,person,137,300,0.0005137856186209763
217,bless,69,16,0.0005080127465016395
218,actually,228,295,0.0005080127465016395
219,let,165,204,0.0005022398743823027
220,super,166,108,0.0005022398743823027
221,wishing,81,6,0.0005022398743823027
222,gonna,247,202,0.0005022398743823027
223,such,202,252,0.0004964670022629659
224,b,121,127,0.0004964670022629659
225,week,195,76,0.0004964670022629659
226,seeing,135,140,0.0004964670022629659
227,ya,104,32,0.000490694130143629
228,off,181,251,0.000490694130143629
229,i've,0,0,0.00047914838590495544
230,lot,331,214,0.00047914838590495544
231,give,128,153,0.00047914838590495544
232,ur,140,122,0.00047914838590495544
233,wanna,176,135,0.0004733755137856186
234,blessed,69,5,0.0004733755137856186
235,where,191,234,0.0004733755137856186
236,happiness,77,23,0.0004733755137856186
237,having,595,123,0.0004733755137856186
238,that's,0,0,0.0004733755137856186
239,thursday,112,7,0.0004676026416662818
240,hard,136,151,0.000461829769546945
241,heart,85,92,0.000461829769546945
242,everything,128,141,0.000461829769546945
243,hes,113,153,0.0004560568974276082
244,@ayooyalowo,62,0,0.0004560568974276082
245,hi,114,41,0.00044451115318893455
246,sure,181,185,0.00044451115318893455
247,pretty,161,160,0.00043873828106959776
