word,frequency
fun,11850.0
the,5846.0
i,5311.0
to,5282.0
a,4803.0
and,4600.0
of,3435.0
is,2949.0
you,2843.0
it,2727.0
for,2603.0
have,2366.0
in,2189.0
so,2181.0
this,2161.0
my,1983.0
was,1753.0
with,1751.0
that,1731.0
be,1686.0
but,1579.0
on,1487.0
are,1224.0
just,1183.0
like,1101.0
at,1099.0
we,1067.0
not,1002.0
its,997.0
me,976.0
all,929.0
much,844.0
it's,833.0
your,805.0
do,747.0
had,739.0
as,732.0
if,702.0
they,697.0
when,696.0
having,689.0
more,673.0
some,668.0
about,653.0
im,638.0
day,625.0
make,613.0
can,603.0
out,597.0
one,596.0
time,591.0
get,575.0
really,567.0
how,547.0
no,539.0
up,520.0
love,515.0
our,501.0
good,498.0
what,496.0
people,494.0
always,486.0
will,483.0
making,479.0
he,477.0
from,472.0
i'm,460.0
been,446.0
would,445.0
twitter,442.0
or,442.0
an,437.0
think,414.0
know,414.0
today,398.0
them,394.0
too,383.0
see,383.0
game,371.0
now,368.0
by,365.0
happy,350.0
new,349.0
-,345.0
who,344.0
go,339.0
because,335.0
being,334.0
lot,332.0
great,320.0
play,316.0
going,304.0
find,304.0
want,302.0
made,299.0
dont,298.0
their,296.0
also,294.0
back,290.0
u,288.0
hope,286.0
games,282.0
got,280.0
were,278.0
has,275.0
still,271.0
way,266.0
only,265.0
thank,263.0
here,262.0
us,260.0
there,260.0
last,260.0
fact,259.0
don't,253.0
very,252.0
watch,251.0
these,246.0
looks,245.0
then,244.0
why,244.0
earth,241.0
even,240.0
come,239.0
she,239.0
well,238.0
work,236.0
lol,234.0
him,232.0
never,232.0
first,232.0
gonna,231.0
his,230.0
her,229.0
fact:,225.0
am,224.0
sounds,220.0
did,214.0
friends,209.0
most,208.0
into,200.0
take,199.0
something,199.0
look,199.0
than,196.0
actually,194.0
should,193.0
doing,192.0
yours,192.0
little,191.0
while,190.0
join,190.0
need,188.0
night,188.0
things,187.0
oh,185.0
could,183.0
is:,182.0
year,181.0
playing,180.0
say,179.0
yes,179.0
2,176.0
yeah,174.0
crush,171.0
enjoy,167.0
other,166.0
thats,166.0
thing,165.0
everyone,162.0
over,162.0
right,162.0
that's,161.0
getting,161.0
every,159.0
week,159.0
show,158.0
where,156.0
life,156.0
looking,156.0
those,155.0
again,154.0
live,154.0
you're,153.0
feel,153.0
such,152.0
t,152.0
sure,151.0
morning,149.0
watching,149.0
cant,147.0
man,147.0
after,145.0
lots,145.0
shit,144.0
makes,144.0
i've,142.0
family:,141.0
parents:,141.0
spouse:,141.0
someone,141.0
thanks,141.0
ive,140.0
off,139.0
wanna,139.0
best,139.0
children:,139.0
around,138.0
guys,138.0
until,136.0
3,136.0
check,135.0
super,134.0
please,133.0
school,133.0
next,132.0
many,130.0
any,130.0
part,129.0
youre,128.0
used,127.0
miss,126.0
let,126.0
:),125.0
stream,124.0
years,124.0
birthday,124.0
big,123.0
ever,122.0
kids,122.0
though,122.0
wait,122.0
pretty,121.0
before,121.0
cool,121.0
same,120.0
can't,119.0
1,119.0
trying,118.0
two,118.0
try,118.0
old,117.0
via,117.0
team,116.0
hey,114.0
down,112.0
maybe,112.0
bad,111.0
another,111.0
times,110.0
thought,110.0
help,110.0
stuff,109.0
w,108.0
read,107.0
days,107.0
long,105.0
said,105.0
tho,105.0
together,104.0
bit,103.0
through,103.0
since,103.0
which,102.0
does,102.0
free,102.0
lets,102.0
better,101.0
home,101.0
use,101.0
talk,101.0
start,101.0
yall,101.0
learning,101.0
video,99.0
kinda,98.0
keep,98.0
sometimes,98.0
own,97.0
&gt,97.0
he's,97.0
ur,97.0
seems,96.0
nice,96.0
might,96.0
both,95.0
omg,95.0
they're,95.0
may,95.0
working,94.0
s,94.0
few,93.0
we're,93.0
hard,92.0
excited,92.0
funny,92.0
remember,91.0
world,91.0
guy,91.0
stop,90.0
bc,88.0
friend,87.0
yesterday,87.0
ok,87.0
amazing,86.0
class,85.0
mean,85.0
everything,85.0
seeing,84.0
nothing,84.0
glad,83.0
),83.0
real,83.0
played,83.0
4,83.0
person,82.0
different,82.0
went,81.0
give,81.0
summer,81.0
anything,81.0
wish,80.0
5,80.0
i'll,80.0
book,80.0
music,79.0
tell,79.0
ill,79.0
idea,79.0
song,79.0
learn,79.0
earthday,79.0
th,78.0
myself,78.0
family,78.0
story,77.0
definitely,77.0
celebrate,77.0
already,76.0
literally,76.0
once,75.0
weekend,75.0
tonight,75.0
anyone,74.0
hes,74.0
theyre,74.0
talking,73.0
isn't,73.0
cause,73.0
done,73.0
n,73.0
end,72.0
probably,72.0
art,72.0
lmao,71.0
isnt,71.0
kind,71.0
cute,70.0
job,69.0
hate,69.0
yet,69.0
honestly,68.0
whole,68.0
favorite,68.0
let's,68.0
didn't,68.0
point,67.0
movie,67.0
writing,67.0
okay,67.0
started,67.0
care,66.0
tweet,66.0
didnt,66.0
doesn't,66.0
ready,65.0
tomorrow,65.0
without,65.0
anymore,65.0
group,65.0
stay,65.0
party,65.0
sound,64.0
sun,64.0
put,64.0
10,64.0
hell,64.0
tbh,63.0
full,63.0
awesome,63.0
theres,63.0
easy,63.0
b,62.0
post,62.0
wrong,62.0
money,62.0
soon,62.0
series,62.0
id,62.0
run,61.0
fucking,61.0
facts,61.0
@iamlorengray,61.0
place,61.0
beautiful,61.0
idk,61.0
characters,61.0
there's,60.0
students,60.0
ago,59.0
enough,59.0
season,59.0
call,59.0
&lt,59.0
house,58.0
experience,58.0
sorry,58.0
fuck,58.0
p,57.0
girl,57.0
name,57.0
ways,57.0
o,57.0
date,57.0
loved,56.0
saying,56.0
hi,56.0
girls,56.0
each,56.0
imagine,56.0
gotta,56.0
thursday,56.0
f,56.0
least,56.0
coming,56.0
must,55.0
april,55.0
reason,55.0
episode,55.0
understand,55.0
safe,55.0
taking,54.0
thinking,54.0
character,54.0
listen,54.0
true,54.0
videos,54.0
follow,54.0
gets,53.0
m,53.0
sad,53.0
away,53.0
meet,53.0
wow,53.0
c,53.0
especially,53.0
wanted,53.0
god,52.0
small,52.0
project,52.0
d,52.0
far,52.0
crazy,51.0
saw,51.0
called,51.0
took,51.0
welcome,51.0
early,51.0
bring,51.0
hours,51.0
during,51.0
found,51.0
top,51.0
content,50.0
share,50.0
ass,50.0
yourself,50.0
wasnt,50.0
forward,50.0
less,50.0
bro,50.0
l,50.0
e,49.0
die,49.0
r,49.0
young,48.0
seriously,48.0
interesting,48.0
event,48.0
here's,48.0
hear,48.0
worth,47.0
absolutely,47.0
ride,47.0
high,47.0
almost,47.0
activities,47.0
believe,47.0
streaming,47.0
weird,46.0
dude,46.0
able,46.0
i'd,46.0
2021,46.0
half,46.0
single,45.0
h,45.0
set,45.0
drawing,45.0
:d,45.0
ppl,45.0
came,45.0
baby,45.0
black,45.0
course,45.0
reading,45.0
exciting,44.0
draw,44.0
using,44.0
special,44.0
enjoyed,44.0
ya,44.0
ask,43.0
later,43.0
online,43.0
agree,43.0
guess,43.0
aint,43.0
dance,43.0
she's,42.0
haha,42.0
food,42.0
future,42.0
fan,42.0
break,42.0
6,42.0
tried,42.0
pls,42.0
mind,42.0
afternoon,42.0
write,41.0
hair,41.0
virtual,41.0
buy,41.0
comes,41.0
it'll,41.0
children,41.0
win,41.0
told,41.0
ideas,41.0
yo,41.0
y,41.0
doesnt,41.0
league,40.0
fight,40.0
month,40.0
takes,40.0
else,40.0
seem,40.0
account,40.0
7,40.0
between,40.0
short,40.0
says,39.0
starting,39.0
nah,39.0
face,39.0
earthday2021,39.0
friday,39.0
type,39.0
seen,39.0
boys,39.0
y'all,39.0
change,39.0
listening,39.0
won't,38.0
whatever,38.0
chat,38.0
either,38.0
head,38.0
quite,38.0
living,38.0
second,38.0
instead,38.0
kid,38.0
open,38.0
podcast,38.0
hello,38.0
cuz,38.0
boy,38.0
add,37.0
close,37.0
decided,37.0
body,37.0
word,37.0
g,37.0
media,37.0
activity,37.0
voice,37.0
weeks,37.0
line,37.0
water,36.0
till,36.0
pick,36.0
ones,36.0
finished,36.0
serious,36.0
park,36.0
mom,36.0
ball,36.0
outside,36.0
planet,35.0
fans,35.0
support,35.0
finally,35.0
damn,35.0
players,35.0
turn,35.0
knew,35.0
bestie,35.0
feeling,35.0
perfect,35.0
trip,35.0
side,35.0
goes,35.0
car,34.0
social,34.0
rn,34.0
hit,34.0
others,34.0
alone,34.0
creative,34.0
along,34.0
under,34.0
main,34.0
joke,34.0
/,34.0
against,33.0
style,33.0
mine,33.0
dead,33.0
supposed,33.0
boring,33.0
news,33.0
forget,33.0
simple,33.0
fu,32.0
anyway,32.0
(and,32.0
community,32.0
wouldn't,32.0
stage,32.0
couple,32.0
moment,32.0
watched,32.0
you'll,32.0
hour,32.0
books,32.0
youtube,32.0
kingdom,31.0
challenge,31.0
building,31.0
stupid,31.0
shes,31.0
design,31.0
whats,31.0
company,31.0
hang,31.0
white,31.0
exactly,31.0
haven't,31.0
ig,31.0
english,31.0
wouldnt,31.0
club,31.0
based,31.0
become,31.0
ha,30.0
piece,30.0
dad,30.0
travel,30.0
feels,30.0
ngl,30.0
celebrating,30.0
brother,30.0
color,30.0
what's,30.0
blog,30.0
outdoor,30.0
sweet,30.0
movies,30.0
left,30.0
gone,30.0
felt,30.0
heard,30.0
enjoying,30.0
grade,30.0
phone,30.0
missed,30.0
havent,30.0
waiting,29.0
20,29.0
yea,29.0
means,29.0
sports,29.0
room,29.0
+,29.0
twitch,29.0
appreciate,29.0
totally,29.0
v,29.0
@f_mirajkt48,29.0
app,29.0
months,29.0
chance,29.0
@tommyaltinnit,29.0
minutes,29.0
player,29.0
light,29.0
sharing,29.0
wont,29.0
past,29.0
tv,29.0
mad,29.0
nobody,29.0
mostly,29.0
running,28.0
sleep,28.0
men,28.0
