word,frequency
happy,13602.0
birthday,5055.0
to,4489.0
i,4439.0
you,3874.0
the,3492.0
and,3005.0
a,2873.0
so,2605.0
for,2023.0
my,1706.0
of,1531.0
be,1497.0
is,1424.0
that,1409.0
me,1385.0
im,1318.0
it,1306.0
in,1240.0
day,1170.0
this,1163.0
with,1006.0
have,966.0
your,873.0
but,851.0
are,821.0
on,753.0
all,716.0
we,713.0
just,702.0
i'm,668.0
love,663.0
was,651.0
not,585.0
if,583.0
like,522.0
am,490.0
makes,485.0
he,476.0
u,467.0
hope,461.0
one,460.0
very,451.0
at,438.0
about,434.0
make,432.0
good,432.0
they,427.0
do,402.0
our,393.0
thank,392.0
when,387.0
its,375.0
as,373.0
see,362.0
more,357.0
what,355.0
now,352.0
can,337.0
know,331.0
her,330.0
will,328.0
from,326.0
best,321.0
get,310.0
people,310.0
got,308.0
been,304.0
today,303.0
up,303.0
really,300.0
how,300.0
much,296.0
an,295.0
always,292.0
time,286.0
no,284.0
out,283.0
life,280.0
great,262.0
bday,259.0
would,256.0
them,255.0
want,254.0
she,242.0
or,241.0
his,240.0
had,238.0
too,237.0
wish,236.0
who,232.0
stay,221.0
him,219.0
it's,219.0
3,217.0
go,216.0
anniversary,213.0
dont,212.0
still,211.0
-,211.0
because,210.0
&lt,207.0
new,200.0
some,197.0
there,196.0
many,194.0
has,193.0
by,193.0
never,192.0
being,192.0
us,189.0
beautiful,186.0
made,183.0
man,183.0
feel,182.0
here,182.0
don't,176.0
back,176.0
years,175.0
think,174.0
well,171.0
year,170.0
may,166.0
look,165.0
everyone,163.0
were,162.0
enjoy,162.0
only,161.0
even,161.0
administrative,161.0
say,156.0
amazing,150.0
way,150.0
you're,148.0
bro,143.0
youre,141.0
help,140.0
work,140.0
these,140.0
long,138.0
little,137.0
did,137.0
why,136.0
jaemin,135.0
earth,135.0
sad,134.0
keep,134.0
god,133.0
also,133.0
right,133.0
again,132.0
hear,131.0
going,129.0
every,127.0
first,127.0
cant,126.0
please,126.0
things,126.0
could,125.0
omg,123.0
friend,123.0
then,120.0
morning,119.0
come,119.0
ever,119.0
girl,119.0
take,119.0
their,118.0
wednesday,118.0
big,116.0
@dipolygabana,115.0
need,115.0
:),114.0
yes,114.0
oh,114.0
lol,113.0
than,112.0
can't,112.0
other,111.0
getting,111.0
most,109.0
someone,108.0
into,108.0
doing,107.0
professionals,107.0
last,107.0
family,106.0
tell,105.0
thanks,104.0
friends,104.0
ive,103.0
2,102.0
queen,102.0
real,102.0
after,102.0
world,101.0
said,101.0
live,99.0
should,98.0
something,98.0
any,97.0
over,97.0
baby,97.0
finally,96.0
days,96.0
glad,96.0
thats,94.0
two,94.0
better,93.0
making,93.0
believe,93.0
both,92.0
nice,91.0
guys,90.0
wonderful,90.0
miss,89.0
person,89.0
bless,88.0
