,id,text
0,1,"['they', 'didnt', 'pick', 'up', 'im', 'very', 'sad', 'https://t', 'co/hzedvdnrgo']"
1,1,"['@marknsid', 'they', 'are', 'so', 'cute', 'bumble', 'bees', 'i', 'always', 'get', 'so', 'sad', 'when', 'they', 'start', 'dying', 'off', 'its', 'lovely', 'to', 'see', 'nature', 'bloom']"
2,1,"['perhaps', 'the', 'worlds', 'only', 'free', 'item', 'is', 'oxygen', 'but', 'how', 'sad', 'is', 'it', 'that', 'humans', 'cant', 'breathe', 'it', 'in', 'during', 'sickness', 'and', 'https://t', 'co/yjak1ldxzg']"
3,1,"['im', 'so', 'sad', 'i', 'cant', 'believe', 'this', 'happened', 'to', 'george', 'brah']"
4,1,"['@rammydarkside', '@tony_forshaw', '@mmcc68', '@theukepunk', '@gbirdgareth', 'sad', 'too', 'say', 'we', 'have', 'turned', 'into', 'a', 'gimmick', 'club', 'daz']"
5,1,"['@m_z_harrison', 'doth', 'not', 'a', 'summer', 'make', 'very', 'late', 'this', 'year', 'only', 'the', 'odd', 'one', 'seen', 'on', 'the', 'coast', 'as', 'a', 'boy', 'i', 'would', 'ha', 'https://t', 'co/crpg05fvm1']"
6,1,"['@littlezart', 'that', 'really', 'is', 'true', 'zara', ""i'm"", 'sad', 'that', 'some', 'people', ""can't"", 'ask']"
7,1,"['@vandijksean', '100%', 'it', 'is', 'sad', 'because', 'those', 'girls', 'and', 'others', 'have', 'done', 'so', 'much', 'and', 'now', 'people', 'are', 'attacking', 'ray', 'p', 'https://t', 'co/bgyietrqfe']"
8,1,"['@itsplainjana', '@reemorningstar', 'she', 'literally', 'is', 'its', 'so', 'sad']"
9,1,"['@surayyah__ahmad', 'very', 'sad']"
10,1,"['@erictrump', 'awwww', 'honey', 'daddy', 'still', 'doesnt', 'love', 'you', 'no', 'matter', 'how', 'much', 'you', 'try', 'to', 'shill', 'his', 'swill', 'you', 'sad', 'sad', 'boy']"
11,1,"['@maidgameplay', 'my', 'aunts', 'make', 'fun', 'of', 'my', 'because', 'i', 'can', 'only', 'spell', 'in', 'sign', 'so', 'i', 'need', 'to', 'spell', 'everything', 'that', 'i', 'want', 'to', 'say', 'and', 'its', 'sad']"
12,1,"['@gaypuppet_', 'oh', 'heck', 'yah', 'one', 'of', 'the', 'first', 'jokes', 'i', 'made', 'was', 'something', 'like-', 'well', 'at', 'least', ""y'all"", ""haven't"", 'had', 'to', 'mask', 'https://t', 'co/hrsrzfcwz9']"
13,1,"['@saeslvr', 'what', 'made', 'u', 'sad', 'that', 'day']"
14,1,"['@jvct', 'the', 'sad', 'thing', 'is', 'that', 'i', 'would', 'buy', 'weezer', 'trading', 'cards', 'so', 'fast']"
15,1,"['@thatdadlilli', '@kissykirsten', 'deadass', 'though', 'i', 'am', 'unironically', 'getting', 'over', 'it', 'pretty', 'fast', 'i', 'dont', 'feel', 'sad', 'over', 'the', 'b', 'https://t', 'co/8mwfzbtpne']"
16,1,"['sad', 'reason', 'robert', 'de', 'niros', 'career', 'has', 'taken', 'a', 'nosedive', 'he', 'is', 'the', 'hollywood', 'titan', 'behind', 'some', 'of', 'the', 'industrys', 'bi', 'https://t', 'co/npro9t9wjp']"
17,1,"['@subtlebehavior', 'stream', 'sad', 'day', '&lt', '3']"
18,1,"['listening', 'to', 'plastic', 'made', 'me', 'so', 'sad', 'ah']"
19,1,"['do', 'u', 'guys', 'wanna', 'hear', 'something', 'sad', 'i', 'nvr', 'got', 'the', 'toko', 'four', 'star']"
20,1,"['@talixlov3', '@daisesxo', 'the', 'truth', 'is', 'that', 'i', 'started', 'to', 'feel', 'sad', 'because', 'there', 'was', 'nothing', 'really', 'of', 'them', 'together', 'like', 'https://t', 'co/fpzkgglrkd']"
21,1,"['@icewitch_skye', 'im', 'so', 'sad', 'i', 'work', 'this', 'weekend']"
22,1,"['@azgop', '@azsenategop', '@michelleugenti', '@jdmesnard', '@azhousegop', 'i', 'will', 'show', 'up', 'to', 'vote', 'in', 'person', 'if', 'it', 'means', 'removing', 'al', 'https://t', 'co/k4ojx1juab']"
23,1,"[""i'm"", 'so', 'sad', 'and', 'so', 'depressed', 'again']"
24,1,"['@icebl1nkluck', 'i', 'am', 'buried', 'up', 'to', 'my', 'neck', 'in', ""don't"", 'create', 'there', 'are', 'places', ""i'll"", 'remember', 'my', 'pain', 'is', 'self-chosen', 'my', 'heart', 'is', 'sad', 'and', 'lonely']"
25,1,"['@0mnamahshivay', '@linkdlrb', '@dontpushyourluk', '@huxijin_gt', 'yes', 'i', 'get', 'very', 'sad', 'seeing', 'white', '$', 'elite', 'making', 'india', 'and', 'chin', 'https://t', 'co/gyg3atvwv1']"
26,1,"['and', 'yall', 'gon', 'sit', 'up', 'in', 'this', 'girl', 'face', 'and', 'play', 'like', 'she', 'only', 'got', 'what', 'she', 'got', 'cause', 'of', 'sympathy', 'lmfao', 'sad', 'https://t', 'co/kszfa9owow']"
27,1,"['@emmakennedy', 'how', 'sad']"
28,1,"['@morning_joe', '@eugene_robinson', '@joenbc', ""c'mon"", 'although', 'not', 'included', 'in', 'clip', 'i', ""wasn't"", 'surprised', 'both', '@joenbc', '&amp', 'https://t', 'co/ountlkruck']"
29,1,"[""i'm"", 'just', 'sad', 'and', 'depressed', 'feel', 'liked', 'everyone', 'left', 'me', 'and', 'threw', 'me', 'into', 'junk']"
30,1,"['@naychaes', 'i', 'am', 'sad']"
31,1,"['@mikepompeo', 'sad', 'that', 'you', 'did', 'not', 'have', 'the', 'balls', 'like', '@ambjohnbolton', 'to', 'stand', 'against', 'terrorism', 'keep', 'quiet']"
