word,frequency
sad,12501.0
i,6200.0
the,5389.0
to,4781.0
and,4024.0
a,3798.0
so,3727.0
is,3339.0
that,2490.0
of,2476.0
this,2474.0
you,2352.0
it,2155.0
but,1869.0
for,1783.0
my,1768.0
in,1766.0
im,1683.0
me,1636.0
be,1429.0
was,1415.0
its,1312.0
just,1255.0
are,1147.0
not,1100.0
on,1052.0
have,1009.0
like,933.0
when,914.0
very,905.0
they,877.0
with,830.0
i'm,814.0
about,801.0
really,795.0
he,763.0
it's,759.0
all,758.0
how,751.0
at,729.0
we,723.0
no,723.0
people,701.0
if,660.0
what,592.0
get,583.0
now,574.0
see,557.0
one,553.0
your,548.0
do,541.0
know,535.0
as,514.0
feel,507.0
out,505.0
because,494.0
she,493.0
why,484.0
dont,484.0
or,477.0
am,477.0
up,467.0
makes,460.0
can,428.0
has,427.0
time,424.0
his,421.0
too,418.0
from,410.0
will,407.0
had,402.0
don't,402.0
her,396.0
day,390.0
even,390.0
him,377.0
who,376.0
being,369.0
them,368.0
still,364.0
news,364.0
some,363.0
happy,357.0
been,353.0
more,352.0
thats,350.0
think,339.0
their,338.0
love,336.0
an,333.0
make,329.0
life,325.0
good,319.0
only,309.0
go,309.0
u,306.0
got,304.0
by,293.0
there,292.0
want,290.0
much,289.0
never,282.0
would,280.0
man,278.0
thing,274.0
going,270.0
were,263.0
-,262.0
these,257.0
hear,256.0
today,250.0
here,248.0
then,247.0
say,243.0
shit,242.0
made,240.0
our,238.0
many,237.0
cant,236.0
also,236.0
true,231.0
actually,226.0
way,222.0
such,221.0
over,220.0
always,217.0
right,216.0
oh,214.0
bad,212.0
can't,212.0
same,209.0
that's,207.0
back,206.0
little,204.0
need,203.0
did,200.0
kinda,189.0
feeling,189.0
last,187.0
someone,183.0
us,182.0
any,179.0
lol,178.0
bc,178.0
part,177.0
look,173.0
yes,171.0
gonna,170.0
should,170.0
than,165.0
getting,165.0
first,163.0
well,163.0
years,161.0
fucking,156.0
hope,156.0
you're,154.0
other,153.0
things,153.0
sorry,152.0
said,151.0
something,151.0
story,149.0
les,149.0
didnt,148.0
girl,147.0
yeah,146.0
better,146.0
ever,145.0
every,143.0
literally,143.0
after,143.0
into,142.0
making,141.0
music,141.0
2,140.0
hate,139.0
take,138.0
family,137.0
work,137.0
another,137.0
could,136.0
days,135.0
where,134.0
again,134.0
watch,133.0
rip,132.0
stop,132.0
read,132.0
times,131.0
