word,frequency
angry,8042.0
the,7082.0
i,5862.0
to,4963.0
a,4530.0
and,4188.0
@angry_staffer,3483.0
is,3098.0
you,3028.0
of,2727.0
that,2567.0
so,2181.0
in,2130.0
this,1997.0
it,1938.0
was,1885.0
are,1749.0
for,1590.0
be,1586.0
me,1577.0
not,1530.0
he,1451.0
with,1382.0
my,1377.0
but,1364.0
at,1311.0
just,1223.0
have,1222.0
they,1191.0
people,1190.0
on,1133.0
im,1094.0
if,1082.0
about,1079.0
when,1077.0
get,1030.0
like,1005.0
an,912.0
what,868.0
she,863.0
all,848.0
why,821.0
we,805.0
as,761.0
or,712.0
no,706.0
how,694.0
i'm,693.0
do,681.0
her,668.0
your,649.0
who,648.0
its,611.0
because,600.0
know,563.0
one,563.0
from,532.0
his,525.0
up,517.0
am,515.0
dont,502.0
being,501.0
can,489.0
makes,485.0
would,481.0
don't,474.0
think,473.0
now,463.0
out,463.0
more,462.0
will,460.0
make,451.0
time,449.0
it's,449.0
by,449.0
there,448.0
had,422.0
very,420.0
really,418.0
been,402.0
even,399.0
them,397.0
see,390.0
were,379.0
police,379.0
someone,377.0
their,368.0
got,364.0
still,360.0
has,349.0
girl,346.0
never,340.0
some,337.0
him,331.0
right,330.0
should,324.0
only,322.0
black,319.0
feel,317.0
want,315.0
then,309.0
man,300.0
sad,296.0
over,296.0
getting,295.0
too,285.0
white,283.0
did,280.0
say,268.0
go,265.0
these,265.0
always,264.0
good,264.0
other,262.0
need,261.0
than,259.0
also,254.0
person,252.0
going,242.0
-,241.0
made,240.0
much,239.0
u,237.0
something,234.0
after,234.0
love,229.0
could,228.0
said,228.0
way,227.0
many,222.0
us,219.0
every,218.0
fucking,217.0
trying,217.0
you're,215.0
knife,214.0
yes,213.0
@palanzadaniel,212.0
thing,209.0
stop,207.0
cant,202.0
today,201.0
life,197.0
our,197.0
here,196.0
day,195.0
off,195.0
t,192.0
look,192.0
shoot,190.0
into,190.0
well,189.0
down,189.0
youre,188.0
take,185.0
shit,182.0
cops,179.0
little,179.0
any,179.0
back,178.0
where,177.0
shot,176.0
oh,169.0
another,167.0
thats,167.0
again,166.0
that's,166.0
video,162.0
can't,161.0
most,161.0
cop,160.0
those,159.0
men,158.0
same,157.0
lot,156.0
nothing,156.0
does,156.0
gets,156.0
first,155.0
lol,155.0
didn't,153.0
@bsghelo2017,153.0
hate,153.0
actually,152.0
officer,152.0
maybe,151.0
making,150.0
things,149.0
didnt,149.0
yeah,148.0
understand,148.0
let,148.0
bad,148.0
point,147.0
last,146.0
saying,144.0
taser,143.0
use,143.0
everyone,142.0
happy,142.0
anything,142.0
sure,140.0
@adpucci,139.0
agree,139.0
guy,136.0
old,135.0
ever,135.0
sorry,135.0
better,134.0
away,134.0
thought,133.0
mean,133.0
god,132.0
hes,132.0
saw,131.0
kill,131.0
literally,130.0
looks,128.0
before,128.0
which,127.0
while,126.0
come,126.0
work,125.0
wrong,125.0
he's,124.0
anyone,122.0
enough,121.0
th,121.0
watch,120.0
@birriatacos1,120.0
reason,119.0
@loubierbauer,119.0
child,118.0
fans,118.0
2,117.0
situation,116.0
@chrisbrown2075,116.0
news,115.0
called,115.0
tell,114.0
fuck,114.0
stab,114.0
tucker,113.0
without,113.0
@wrathofmog,112.0
tweet,112.0
